file_name,Emotion_1_label,Emotion_1_mean,Emotion_1_std,Emotion_2_label,Emotion_2_mean,Emotion_2_std,Emotion_3_label,Emotion_3_mean,Emotion_3_std,valence,arousal,dominance,user_id,timestamp
audios\recording2.wav,disgust,0.29817204894842925,0.03510175363702465,anger,0.2702322008433165,0.06566146198057002,neutral,0.174514915269834,0.09055597192500746,0.48877132,0.5887392,0.5126721,,audios\recording2.wav
audios\recording0.wav,disgust,0.40212671509495485,0.14410059689024288,happiness,0.23590208353819672,0.05651114592506163,neutral,0.15259158136392081,0.08826727956080808,0.378734,0.564717,0.5366905,,audios\recording0.wav
audios\recording3.wav,disgust,0.3112747010478267,0.07147398910272126,happiness,0.2942339494051757,0.0758019961050336,anger,0.18976150940965722,0.036290473727337916,0.67882335,0.6976998,0.6721508,,audios\recording3.wav
audios\recording2.wav,disgust,0.3112747010478267,0.07147398910272126,happiness,0.2942339494051757,0.0758019961050336,anger,0.18976150940965722,0.036290473727337916,0.67882335,0.6976998,0.6721508,,audios\recording2.wav
audios\recording1.wav,disgust,0.4358480601840549,0.21364136500333802,happiness,0.20691648840904234,0.011594168039868706,neutral,0.14134919140005,0.09561479086991216,0.62604594,0.5871114,0.53880316,,audios\recording1.wav
audios\recording4.wav,disgust,0.43119381021570274,0.283165593314428,anger,0.1861693082694654,0.07728544269305843,happiness,0.16582593654040936,0.07420955261008412,0.4486572,0.5186787,0.43068072,,audios\recording4.wav
audios\recording5.wav,disgust,0.43119381021570274,0.283165593314428,anger,0.1861693082694654,0.07728544269305843,happiness,0.16582593654040936,0.07420955261008412,0.4486572,0.5186787,0.43068072,,audios\recording5.wav
audios\recording6.wav,happiness,0.3891993976522375,0.16455631559634706,disgust,0.23836419423421226,0.008227843976545399,neutral,0.13350027174309448,0.08451027841711459,0.5945244,0.7000792,0.6291157,,audios\recording6.wav
audios\recording0.wav,disgust,0.28795429984728493,0.09982543129855374,happiness,0.2824339706367917,0.059702233960797775,anger,0.16278425845834943,0.025724614599126523,0.39828727,0.43273476,0.4534173,,audios\recording0.wav
audios\recording1.wav,happiness,0.38740675625977694,0.2054101205567833,disgust,0.2522256550965486,0.016182377352111567,neutral,0.13915433800882762,0.09200423810403428,0.2998327,0.22811612,0.31513822,,audios\recording1.wav
audios\recording2.wav,disgust,0.3774134194409406,0.17952329534888622,happiness,0.2669876698211387,0.020292557467349898,anger,0.13269721375571356,0.05424806188949222,0.49867603,0.7668345,0.7090933,,audios\recording2.wav
audios\recording4.wav,happiness,0.27180081058431554,0.058778803744936985,disgust,0.2237818603824686,0.022469710186873507,anger,0.2145458510628453,0.044515546789540145,0.2980108,0.14242761,0.2188687,,audios\recording4.wav
audios\recording3.wav,happiness,0.28798598395453556,0.09056394998396376,disgust,0.19914600489316162,0.015009478294154248,anger,0.17062542491488988,0.03676373158808155,0.33265,0.0939435,0.21435302,,audios\recording3.wav
audios\recording1.wav,disgust,0.41611086712943185,0.2044969311148598,anger,0.18932450031792677,0.029644047933154106,happiness,0.17293997794389726,0.05382276906289424,0.4429546,0.48128158,0.47788382,,audios\recording1.wav
audios\recording0.wav,disgust,0.35818171024322515,0.1213128286257964,sadness,0.1715929180383682,0.03970513614696779,anger,0.15692024129408377,0.020121075084988057,0.5392859,0.5275678,0.5179286,,audios\recording0.wav
audios\recording0.wav,disgust,0.38605915325659296,0.16012837156934007,anger,0.2008930727066817,0.030430757314022998,happiness,0.17136238875212495,0.02738474079060195,0.5392859,0.5275678,0.5179286,,audios\recording0.wav
audios\recording1.wav,happiness,0.2743953011654041,0.06216448119271744,disgust,0.2630722373503226,0.0369843710288089,anger,0.16734864117922607,0.020745199099157736,0.39483917,0.40809858,0.47002387,,audios\recording1.wav
audios\recording1.wav,disgust,0.3432258783446418,0.08582151723140065,anger,0.26103922362680787,0.1276921323931194,neutral,0.16001219118358911,0.10292755230226103,0.38909137,0.0030694753,0.16343226,,audios\recording1.wav
audios\recording0.wav,disgust,0.3415726312884578,0.1248106485962344,anger,0.24239514487761038,0.082139679984448,happiness,0.15404147720999187,0.07096931245411045,0.2940738,-0.03369107,0.119567126,,audios\recording0.wav
audios\recording2.wav,anger,0.2939769695423267,0.19472416469843473,disgust,0.25376137991746267,0.01570864283859101,happiness,0.18167460361012708,0.05204574540800954,0.26658827,0.07094839,0.22858398,,audios\recording2.wav
audios\recording3.wav,disgust,0.4475356028698109,0.23084685409668795,anger,0.15101765089564853,0.006636320605601968,happiness,0.13541288456431141,0.06700864421338565,0.4538619,0.5739641,0.5276544,,audios\recording3.wav
audios\recording5.wav,disgust,0.29799969774705387,0.06576873463190362,happiness,0.23182369976132003,0.009092656883036957,anger,0.19443375366705437,0.03063069729209566,0.72128844,0.861609,0.7857983,,audios\recording5.wav
audios\recording4.wav,disgust,0.2878407711011392,0.03366645565401992,anger,0.27823829536084776,0.16098506789229608,happiness,0.16298654938185655,0.06705455828318867,0.41837826,0.44379574,0.4371723,,audios\recording4.wav
audios\recording0.wav,happiness,0.29456658773952055,0.0498106941506552,disgust,0.2945411585436927,0.08892837179123586,neutral,0.1887692802040665,0.028104623727713322,0.39397126,0.13575765,0.2823103,,audios\recording0.wav
audios\recording1.wav,happiness,0.3342790520191192,0.11567105672966896,disgust,0.2852305257320404,0.05339805062639453,neutral,0.15338795730361232,0.07495867488861432,0.3182913,0.073650785,0.20962739,,audios\recording1.wav
audios\recording2.wav,happiness,0.3213700950587237,0.10821721588166136,disgust,0.2513074225849576,0.019263269051158126,anger,0.19868128414507266,0.015161341879843542,0.6775792,0.7830203,0.722053,,audios\recording2.wav
audios\recording0.wav,disgust,0.33509018112111977,0.13313308351431458,happiness,0.217176446362778,0.022660577745906296,neutral,0.15057832261754409,0.0885642490219232,0.26202694,0.100457884,0.21769783,,audios\recording0.wav
audios\recording1.wav,disgust,0.3218067244247154,0.12616481042315822,happiness,0.26257630427678424,0.056713199483343024,anger,0.13921712832318411,0.04133465681616217,0.36780354,0.36714834,0.397445,,audios\recording1.wav
audios\recording0.wav,disgust,0.357349442464334,0.10948196848272526,happiness,0.23055040584670172,0.04622778168450835,anger,0.17095342898810353,0.004434672672432143,0.32235333,0.25060546,0.28493553,,audios\recording0.wav
